country,iso_alpha3,region,sub_region,year,avg_sea_level_change_rate,avg_sea_level_change_value,pop_hi_tide,pop_coast_flood
Albania,ALB,Europe,Southern Europe,2020,3.87,59.33,0.05,0.06
Albania,ALB,Europe,Southern Europe,2030,3.87,100.67,NA,NA
Albania,ALB,Europe,Southern Europe,2040,4.6,141.33,NA,NA
Albania,ALB,Europe,Southern Europe,2050,5.57,201,0.06,0.09
Albania,ALB,Europe,Southern Europe,2060,6.03,258.67,NA,NA
Albania,ALB,Europe,Southern Europe,2070,6.43,322.33,NA,NA
Albania,ALB,Europe,Southern Europe,2080,6.63,390.67,NA,NA
Albania,ALB,Europe,Southern Europe,2090,6.47,457.33,NA,NA
Albania,ALB,Europe,Southern Europe,2100,6.53,522.67,0.11,0.12
Albania,ALB,Europe,Southern Europe,2110,6.83,580.67,NA,NA
Albania,ALB,Europe,Southern Europe,2120,6.7,648.67,NA,NA
Albania,ALB,Europe,Southern Europe,2130,6.67,715.33,NA,NA
Albania,ALB,Europe,Southern Europe,2140,6.5,781.67,NA,NA
Albania,ALB,Europe,Southern Europe,2150,6.4,846.33,NA,NA
Algeria,DZA,Africa,Northern Africa,2020,0.69,63.69,0.03,0.04
Algeria,DZA,Africa,Northern Africa,2030,0.71,108.23,NA,NA
Algeria,DZA,Africa,Northern Africa,2040,0.82,153.26,NA,NA
Algeria,DZA,Africa,Northern Africa,2050,0.98,216.2,0.04,0.04
Algeria,DZA,Africa,Northern Africa,2060,1.04,277.11,NA,NA
Algeria,DZA,Africa,Northern Africa,2070,1.08,342.17,NA,NA
Algeria,DZA,Africa,Northern Africa,2080,1.13,411.77,NA,NA
Algeria,DZA,Africa,Northern Africa,2090,1.11,480.69,NA,NA
Algeria,DZA,Africa,Northern Africa,2100,1.13,548.57,0.05,0.05
Algeria,DZA,Africa,Northern Africa,2110,1.18,610.63,NA,NA
Algeria,DZA,Africa,Northern Africa,2120,1.16,681.49,NA,NA
Algeria,DZA,Africa,Northern Africa,2130,1.15,751.54,NA,NA
Algeria,DZA,Africa,Northern Africa,2140,1.13,820.4,NA,NA
Algeria,DZA,Africa,Northern Africa,2150,1.11,888.03,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2020,5.7,78,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2030,6.1,140,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2040,6.8,204,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2050,7.5,286,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2060,8.1,360,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2070,8.9,446,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2080,9.7,542,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2090,10.6,638,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2100,10.6,750,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2110,9.8,852,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2120,9.8,950,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2130,9.6,1046,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2140,9.4,1142,NA,NA
American Samoa:Tutuila,ASM,Oceania,Australia and New Zealand,2150,9.4,1236,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2020,1.65,59.73,0,0.01
Angola,AGO,Africa,Sub-Saharan Africa,2030,1.78,107.73,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2040,2.05,161.03,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2050,2.3,229.59,0.01,0.01
Angola,AGO,Africa,Sub-Saharan Africa,2060,2.52,292.57,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2070,2.67,367.32,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2080,2.72,442.35,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2090,2.83,515.73,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2100,2.92,595.05,0.01,0.08
Angola,AGO,Africa,Sub-Saharan Africa,2110,2.92,679.51,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2120,2.88,759.54,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2130,2.84,838.57,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2140,2.8,916.76,NA,NA
Angola,AGO,Africa,Sub-Saharan Africa,2150,2.75,993.7,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2020,0.47,0.67,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2030,0.51,13.74,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2040,0.57,27.79,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2050,0.51,47.9,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2060,0.34,51.32,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2070,0.28,54.6,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2080,0.38,53.97,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2090,0.42,51.59,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2100,0.41,35.49,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2110,0.42,154.08,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2120,0.4,168.47,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2130,0.38,182.21,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2140,0.36,195.28,NA,NA
Antarctica,ATA,Antarctica,Antarctica,2150,0.33,207.32,NA,NA
Antarctica:Adelaide Island,ATA,Antarctica,Antarctica,2020,1.5,-6,NA,NA
Antarctica:Adelaide Island,ATA,Antarctica,Antarctica,2030,1.8,1,NA,NA
Antarctica:Adelaide Island,ATA,Antarctica,Antarctica,2040,1.8,10,NA,NA
