country,iso_alpha3,region,sub_region,exag_env,climate_crisis,protect_env,sex,age,educyrs,degree,soc_rank,gov_peo,gov_bus,how_bus,how_peo,mem_env,care_env
Argentina,ARG,Americas,Latin America and the Caribbean,8,29,5,0,41,14,Uni,middle,1,1,2,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,26,7,0,58,10,Uni,middle,1,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,5,30,9,0,31,15,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,31,4,0,36,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,30,12,1,46,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,24,3,1,54,18,noUni,middle,1,1,1,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,24,5,0,49,18,noUni,middle,1,1,1,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,15,34,3,0,28,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,27,3,1,58,19,noUni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,27,5,1,43,15,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,28,7,0,78,9,Uni,middle,0,0,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,31,9,1,56,12,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,26,9,0,39,12,Uni,middle,0,0,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,12,20,4,0,45,12,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,23,7,1,51,18,noUni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,24,5,0,48,12,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,35,7,1,36,12,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,34,4,0,51,4,Uni,low,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,35,10,0,62,12,Uni,middle,1,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,27,6,1,33,15,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,6,1,22,95,Uni,low,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,32,12,1,53,10,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,33,12,0,88,5,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,31,12,1,31,12,Uni,low,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,28,8,1,23,17,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,3,28,10,1,51,18,noUni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,29,7,0,38,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,31,10,1,49,12,Uni,middle,1,1,1,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,30,11,0,75,13,Uni,high,0,0,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,30,9,0,36,7,Uni,low,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,23,8,1,60,10,Uni,middle,0,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,24,5,0,29,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,28,10,0,61,12,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,28,12,0,50,15,Uni,low,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,32,8,1,51,7,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,28,6,1,41,7,Uni,high,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,3,28,8,1,23,12,Uni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,30,9,0,47,12,Uni,middle,0,1,0,2,1,0
Argentina,ARG,Americas,Latin America and the Caribbean,11,28,5,0,61,5,Uni,low,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,32,3,1,53,18,noUni,high,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,5,0,32,11,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,31,5,0,35,18,noUni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,28,9,0,58,15,Uni,middle,1,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,21,11,1,50,7,Uni,low,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,26,12,0,63,18,noUni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,32,10,0,37,12,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,29,6,0,27,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,28,6,1,25,14,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,24,12,0,32,15,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,35,9,1,53,18,noUni,middle,1,1,1,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,4,30,9,0,76,18,noUni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,34,9,0,45,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,29,5,0,40,12,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,35,8,0,26,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,31,5,0,38,12,Uni,high,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,32,7,0,47,7,Uni,middle,0,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,12,1,38,10,Uni,middle,1,0,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,4,29,5,0,25,14,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,30,5,1,51,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,29,9,0,50,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,5,29,8,1,31,19,noUni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,33,3,1,40,9,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,33,9,0,33,12,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,26,4,1,43,18,noUni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,11,26,3,0,45,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,31,9,0,33,16,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,24,9,0,47,15,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,28,10,0,40,5,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,23,5,0,21,96,Uni,middle,1,1,2,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,11,26,7,1,59,12,Uni,middle,1,1,0,2,0,0
